name,size,price
2座2901号,91.7,1177601
4座3005号,125.46,1672603
4座3004号,123.31,1491255
4座3003号,123.31,1585809
4座3002号,91.7,985533
4座3001号,91.7,1050972
3座3005号,125.46,1672603
3座3004号,123.31,1491255
3座3003号,123.31,1585809
3座3002号,91.7,1002983
3座3001号,91.7,1068422
2座3005号,125.46,1685852
2座3004号,123.31,1503863
2座3003号,123.31,1598418
2座3002号,91.7,1011708
15座108号,107.83,1183195
15座107号铺,43.32,1299600
15座106号铺,43.26,1297800
15座105号铺,41.83,1254900
15座104号铺,41.83,1254900
15座103号铺,89.53,2685900
15座102号铺,82.07,2462100
15座101号铺,131.35,3940500
14座106号,107.83,1169266
14座105号铺,59.22,1776600
14座104号铺,57.93,1737900
14座103号铺,59.5,1785000
14座102号铺,62.96,1888800
14座101号铺,99.58,2987400
13座112号,107.84,1169372
13座111号铺,41.83,1254900
13座110号铺,41.83,1254900
13座109号铺,44.12,1323600
13座108号铺,44.23,1326900
13座107号铺,41.81,1254300
13座106号铺,38.29,1148700
13座105号铺,61.3,1839000
13座104号铺,65.05,1951500
13座103号铺,70.96,2128800
13座102号铺,41.83,1254900
13座101号铺,44.45,1333500
4座104号,125.46,1629998
4座103号,118.48,1393471
4座102号,123.31,1543934
4座101号,91.8,1020920
3座104号,125.46,1629998
3座103号,118.48,1393471
3座102号,123.31,1543934
3座101号,91.8,1038389
2座104号,125.46,1643248
2座103号,118.48,1405584
2座102号,123.31,1556542
2座101号,91.8,1047123
15座206号,92.32,1000200
15座205号,92.32,989783
15座204号,107.83,1243850
15座203号,107.83,1236349
15座202号,93.76,1199998
15座201号,93.76,1171076
14座206号,92.31,1000094
14座205号,92.31,956832
14座204号,107.83,1243850
14座203号,107.83,1222422
14座202号,93.75,1190422
14座201号,93.75,1146951
13座206号,92.32,1000200
13座205号,92.32,956933
13座204号,107.84,1243964
13座203号,107.84,1222533
13座202号,93.76,1175424
13座201号,93.76,1137620
4座204号,125.46,1691845
4座203号,123.31,1510167
4座202号,123.31,1604721
4座201号,91.8,1066173
3座204号,125.46,1691845
3座203号,123.31,1510167
3座202号,123.31,1604721
3座201号,91.8,1083643
2座204号,125.46,1705094
2座203号,123.31,1522773
2座202号,123.31,1617328
2座201号,91.8,1092376
15座306号,92.32,1020426
15座305号,92.32,1010009
15座304号,107.83,1267475
15座303号,107.83,1259974
15座302号,93.76,1220540
15座301号,93.76,1191619
14座306号,92.31,1020319
14座305号,92.31,977056
14座304号,107.83,1267475
